ID_FINANCE,Deposit_Date,Special_Pay,Tuition,FRP_Active,FRP_Cancelled,FRP_Take_up_percent_,EZ_Pay_Take_Up_Rate,School_Sponsor,SPR_Group_Revenue,FPP_to_PAX,Num_of_Non_FPP_PAX,ID_TRIP,ID_SALES,Program_Code,From_Grade,To_Grade,Group_State,Days,Travel_Type,Departure_Date,Return_Date,Early_RPL,Latest_RPL,Cancelled_Pax,Total_Discount_Pax,Initial_System_Date,SPR_Product_Type,FPP,Total_Pax,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,MajorProgramCode,FPP_to_School_enrollment,Retained,ID_CRM,Poverty_Code,Region,School_Type,Parent_Meeting_Flag,MDR_Low_Grade,MDR_High_Grade,Total_School_Enrollment,Income_Level,SPR_New_Existing,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,SchoolSizeIndicator,Departure_From_The_Payment
1389,2018-11-08,0,397,1,1,"0,020913435758935","0,017855577091883",1,447,"0,967035782753087",2,1389,HS1389A,HS,6,7,CA,1,A,2019-05-30,05/31/2019,04/20/2018,08/21/2018,6,2,04/24/2018,CA History,42,56,January,1,3,H,"0,054841225784392",0,C1389F,C,Southern California,PUBLIC,1,1,5,874,F,1,2,04/18/2018,2018-08-31,272,3,1,Elementary->Elementary,L,203 days
3090,2019-01-06,0,563,0,0,0,0,0,579,"0,993127324453424",1,3090,HS3090A,HS,6,6,CA,7,A,2019-06-05,06/12/2019,06/30/2018,09/02/2018,0,1,06/22/2018,CA History,44,44,January,1,4,H,"0,03525993967086",0,C3090K,C,Southern California,PUBLIC,0,1,8,1313,K,1,0,,,,4,1,Elementary->Elementary,L,150 days
3639,2018-12-29,0,617,0,0,0,0,0,529,"0,973945817054653",1,3639,HS3639A,HS,3,3,CA,7,A,2019-06-12,06/19/2019,06/28/2018,09/25/2018,0,1,06/28/2018,CA History,48,48,January,1,4,H,"0,034835018104198",0,C3639K,C,Southern California,PUBLIC,0,1,8,1122,K,0,0,,,,4,1,Elementary->Elementary,L,165 days
4249,2018-11-05,0,446,1,1,"0,019031830062446","0,019285349239465",1,381,"0,981972198095321",2,4249,HS4249A,HS,5,6,CA,2,A,2019-06-01,06/03/2019,04/03/2018,09/11/2018,6,2,04/06/2018,CA History,45,50,January,1,3,H,"0,057255009368505",0,C4249F,C,Southern California,PUBLIC,1,1,5,951,F,0,2,04/29/2018,2018-09-07,267,3,1,Elementary->Elementary,L,208 days
CP1021,2018-10-20,CP,582,15,11,"0,597236981275838","0,035036284101661",1,596,"0,963425740042094",2,1021,HS1021A,HS,6,6,CA,4,A,2019-04-01,04/05/2019,05/15/2018,09/17/2018,24,2,05/20/2018,CA History,24,24,January,3,3,H,"0,052117332755443",1,C1021H,C,Southern California,PUBLIC,0,4,5,467,H,0,0,,,,3,3,Elementary->Elementary,S-M,163 days
CP1055,2018-11-14,CP,72,13,0,"0,120346712276273","0,022029853980109",0,75,"0,90230273314182",11,1055,HIS1055T,HIS,6,6,IL,3,T,2019-05-27,05/30/2019,,09/17/2018,5,10,08/21/2018,IL History,103,112,January,1,4,H,"0,119425521007868",1,C1055L,C,Other,PUBLIC,1,1,8,862,L,1,1,09/19/2018,2018-09-25,244,4,1,Middle->Middle,L,194 days
CP1075,2018-10-04,CP,1638,48,15,"0,699719033721694","0,181884964808257",0,1644,"0,904456096138396",6,1075,HD1075A,HD,6,6,CA,9,A,2019-05-26,06/04/2019,04/11/2018,08/11/2018,17,7,04/01/2018,East Coast,80,70,January,4,4,H,"0,090905960063775",1,B1075G,B,Southern California,PUBLIC,1,6,8,760,G,1,1,08/27/2018,2018-08-24,275,4,4,Middle->Middle,M-L,234 days
CP1090,2018-10-18,CP,389,37,3,"0,533460183997706","0,302073224026844",1,377,"0,960852253856289",2,1090,HS1090A,HS,6,6,CA,4,A,2019-06-07,06/11/2019,,09/20/2018,2,2,06/08/2018,CA History,58,62,January,2,4,H,"0,193734752156499",1,01090O,0,Southern California,Private non-Christian,1,2,8,355,O,1,1,09/28/2018,2018-09-20,260,4,2,Elementary->Elementary,S-M,232 days
CP1240,2018-10-15,CP,1581,3,5,"0,618154951516131","0,179159579410445",0,1848,"0,700163346211614",2,1240,HD1240A,HD,10,10,TX,18,A,2019-03-16,04/03/2019,03/17/2018,09/14/2018,6,2,03/09/2018,East Coast,4,8,January,4,4,H,"0,006555877474069",1,B1240O,B,Houston,PUBLIC,1,6,8,698,O,1,2,05/03/2018,2018-10-08,159,4,4,Middle->Middle,M-L,152 days
CP1329,2018-09-29,CP,2487,17,13,"0,473516572943092","0,29234296690039",0,2518,"0,924351755865582",3,1329,HC1329A,HC,6,6,OR,29,A,2019-06-19,07/18/2019,04/14/2018,08/25/2018,18,3,03/22/2018,East Coast,31,41,January,4,4,H,"0,054776522374613",1,B1329H,B,Pacific Northwest,PUBLIC,1,6,8,643,H,1,1,09/07/2018,2018-09-08,284,4,4,Middle->Middle,M-L,263 days
CP1374,2019-01-14,CP,1742,2,3,"0,166893329098334",0,0,1512,"0,96228059073471",1,1374,HC1374A,HC,7,10,AL,9,A,2019-03-02,03/11/2019,,09/29/2018,5,1,09/05/2018,East Coast,13,13,January,5,5,H,"0,007112650273509",0,C1374G,C,Other,PUBLIC,1,9,12,1680,G,0,1,10/14/2018,2018-10-12,141,5,5,High->High,L,47 days
CP1393,2018-05-23,CP,1224,6,2,"0,55780733847763","0,292476708962454",0,1298,"0,892673974340483",1,1393,HD1393A,HD,8,8,MI,14,A,2019-05-19,06/02/2019,04/25/2018,10/10/2018,2,1,04/29/2018,East Coast,9,12,January,2,4,H,"0,074410821840375",1,01393J,0,Other,Catholic,1,2,8,151,J,1,1,09/04/2018,2018-09-07,254,4,2,Middle->Middle,S,361 days
CP141,2018-10-11,CP,900,23,9,"0,700088503250278","0,147285772562345",0,877,"0,909621702416494",3,141,HD141T,HD,8,9,IN,11,T,2019-05-23,06/03/2019,03/11/2018,08/16/2018,8,3,02/13/2018,East Coast,29,33,January,2,5,H,"0,066541990441359",0,B141Z,B,Other,PUBLIC,1,2,12,518,Z,1,1,08/28/2018,2018-08-29,267,5,2,Middle->High,S-M,224 days
CP1471,2018-10-01,CP,1742,28,1,"0,585012383207355","0,108010362516265",0,1869,"0,883267552598496",4,1471,HD1471A,HD,4,4,CA,20,A,2019-04-30,05/20/2019,05/10/2018,08/03/2018,1,4,04/26/2018,East Coast,49,49,January,1,4,H,"0,164273187316035",1,01471Q,0,Southern California,Private non-Christian,1,1,6,308,Q,0,1,09/08/2018,2018-09-16,226,4,1,Elementary->Elementary,S,211 days
CP1515,2018-10-13,CP,473,35,5,"0,331269108473197","0,086316089494518",0,544,"0,899840674064063",9,1515,HD1515T,HD,7,8,OH,9,T,2019-05-14,05/23/2019,,04/29/2018,10,7,03/10/2018,East Coast,89,119,January,4,5,H,"0,402516734267962",0,B1515J,B,Other,PUBLIC,1,7,12,265,J,0,1,09/02/2018,2018-09-14,242,5,4,Middle->Middle,S,213 days
CP1559,2018-11-09,CP,616,32,9,"0,432831629361547","0,229995847864774",0,644,"1,02102167937169",2,1559,HG1559A,HG,2,2,CA,8,A,2019-06-01,06/09/2019,,08/20/2018,11,2,06/02/2018,CA History,70,75,January,2,4,H,"0,098902448509422",1,B1559Q,B,Southern California,PUBLIC,0,2,6,702,Q,1,0,,,,4,2,Elementary->Elementary,M-L,204 days
CP1643,2018-10-20,CP,1315,37,4,"0,663032099174079","0,254961476478407",0,1334,"0,973063315325412",4,1643,HD1643A,HD,10,10,WI,10,A,2019-02-25,03/07/2019,03/15/2018,09/02/2018,8,4,04/10/2018,East Coast,69,63,January,4,5,H,"0,07166566142105",1,B1643G,B,Other,PUBLIC,1,7,9,905,G,1,1,09/07/2018,2018-09-05,173,5,4,High->High,L,128 days
CP1649,2018-12-26,CP,353,8,3,"0,43699250319062","0,186605968816082",1,356,"0,981118796878537",1,1649,HS1649A,HS,5,5,CA,2,A,2019-04-15,04/17/2019,,08/29/2018,4,1,06/05/2018,CA History,15,18,January,2,4,H,"0,065666406468458",1,01649P,0,Southern California,CHD,1,2,8,298,P,1,1,10/23/2018,2018-10-20,177,4,2,Elementary->Elementary,S,110 days
CP1728,2018-11-24,CP,1628,3,2,"0,164774169071285","0,062879784766798",0,1921,"0,939355865317458",2,1728,CD1728A,CD,7,7,OR,22,A,2019-04-25,05/17/2019,,10/12/2018,2,2,10/03/2018,East Coast,18,23,January,1,5,C,"0,027269925056153",1,01728I,0,Pacific Northwest,CHD,1,1,12,709,I,1,1,11/15/2018,2018-11-17,159,5,1,Middle->Middle,M-L,152 days
CP1756,2018-11-21,CP,424,16,4,"0,604869940145268","0,043468690013009",1,367,"0,942104126303917",1,1756,HS1756A,HS,2,2,CA,1,A,2019-04-12,04/13/2019,04/20/2018,09/01/2018,5,1,05/18/2018,CA History,27,27,January,1,4,H,"0,081721819426233",1,01756P,0,Southern California,CHD,0,1,6,301,P,0,0,,,,4,1,Elementary->Elementary,S,142 days
CP1776,2018-10-26,CP,1558,36,4,"0,547846992622479","0,335000576078481",0,1481,"0,967450810073484",5,1776,HD1776A,HD,7,8,IA,19,A,2019-04-17,05/06/2019,02/01/2018,09/07/2018,6,6,09/12/2017,East Coast,59,67,January,3,4,H,"0,259632961365234",0,B1776K,B,Other,PUBLIC,1,5,8,266,K,0,1,09/12/2018,2018-09-22,207,4,3,Middle->Middle,S,173 days
CP1789,2018-10-14,CP,3111,31,2,"0,58774639734753","0,235894255484108",0,2743,"0,890299035029315",7,1789,HC1789A,HC,7,7,CA,29,A,2019-05-24,06/22/2019,01/29/2018,01/30/2018,3,8,01/04/2018,East Coast,60,61,January,1,4,H,"0,122720548580828",1,01789O,0,Southern California,CHD,1,1,8,371,O,1,2,04/28/2018,2018-09-18,248,4,1,Middle->Middle,S-M,222 days
CP1802,2018-10-26,CP,677,15,2,"0,452892244444331","0,265462051200698",1,591,"1,02169708713809",1,1802,HG1802A,HG,4,4,CA,8,A,2019-04-12,04/20/2019,04/16/2018,08/18/2018,3,1,05/02/2018,CA History,38,38,January,1,4,H,"0,07772918626277",0,01802O,0,Southern California,CHD,1,1,8,461,O,0,1,09/18/2018,2018-09-22,202,4,1,Elementary->Elementary,S-M,168 days
CP1815,2018-10-13,CP,2153,30,2,"0,934323088238826","0,193318049744742",1,2223,"0,903994235013694",2,1815,CD1815A,CD,5,6,CA,29,A,2019-04-11,05/10/2019,08/11/2018,09/13/2018,3,2,08/14/2017,East Coast,25,34,January,1,4,C,"0,147141003540717",0,01815G,0,Southern California,CHD,1,1,8,236,G,1,1,09/08/2018,2018-09-14,209,4,1,Middle->Middle,S,180 days
CP1836,2018-09-24,CP,2175,36,1,"0,623850296451905","0,2745952427456",1,2518,"0,929941313758624",5,1836,CC1836A,CC,9,9,CA,33,A,2019-03-07,04/09/2019,02/16/2018,07/31/2018,1,5,02/05/2018,East Coast,53,71,January,1,4,C,"0,071500079041017",1,01836Q,0,Northern California,CHD,1,1,8,779,Q,1,1,09/09/2018,2018-09-04,184,4,1,Middle->Middle,L,164 days
CP1894,2018-10-17,CP,1526,39,6,"0,838073241436245","0,114135503802193",0,1735,"0,917345495504754",5,1894,HD1894A,HD,7,7,TX,16,A,2019-05-18,06/03/2019,02/07/2018,09/19/2018,4,4,02/03/2018,East Coast,42,56,January,4,4,H,"0,24077122858948",1,B1894O,B,Dallas,PUBLIC,1,6,8,186,O,1,1,09/30/2018,2018-09-24,236,4,4,Middle->Middle,S,213 days
CP1905,2018-10-20,CP,3497,14,2,"0,581721909062027","0,092925218568448",0,3781,"0,902785404931854",3,1905,HC1905A,HC,6,6,HI,34,A,2019-05-25,06/28/2019,02/20/2018,09/07/2018,6,3,03/10/2018,East Coast,19,24,January,4,4,H,"0,074978094719036",0,E1905O,E,Other,PUBLIC,1,6,8,275,O,0,1,09/14/2018,2018-09-15,252,4,4,Middle->Middle,S,217 days
